track_name,artists,year,region,country_code
Personally,Karla Bonoff,1982,US,US
One Hundred Ways,Quincy JonesfeaturingJames Ingram,1982,US,US
Blue Eyes,Elton John,1982,US,US
Our Lips Are Sealed,The Go-Go's,1982,US,US
You Could Have Been with Me,Sheena Easton,1982,US,US
You Can Do Magic,America,1982,US,US
Did It in a Minute,Daryl Hall & John Oates,1982,US,US
I Ran (So Far Away),A Flock of Seagulls,1982,US,US
Somebody's Baby,Jackson Browne,1982,US,US
Oh No,Commodores,1982,US,US
Take It Away,Paul McCartney,1982,US,US
It's Gonna Take a Miracle,Deniece Williams,1982,US,US
Love Will Turn You Around,Kenny Rogers,1982,US,US
Don't Stop Believin',Journey,1982,US,US
Comin' In and Out of Your Life,Barbra Streisand,1982,US,US
Gloria,Laura Branigan,1982,US,US
Empty Garden (Hey Hey Johnny),Elton John,1982,US,US
Yesterday's Songs,Neil Diamond,1982,US,US
Crimson and Clover,Joan Jett & The Blackhearts,1982,US,US
Every Little Thing She Does Is Magic,The Police,1982,US,US
Here I Am,Air Supply,1982,US,US
I Keep Forgettin' (Every Time You're Near),Michael McDonald,1982,US,US
Get Down on It,Kool & the Gang,1982,US,US
Any Day Now,Ronnie Milsap,1982,US,US
Make a Move on Me,Olivia Newton-John,1982,US,US
Take My Heart (You Can Have It If You Want It),Kool & the Gang,1982,US,US
Mirror Mirror,Diana Ross,1982,US,US
Vacation,The Go-Go's,1982,US,US
(Oh) Pretty Woman,Van Halen,1982,US,US
Should I Do It,The Pointer Sisters,1982,US,US
Hot in the City,Billy Idol,1982,US,US
Kids in America,Kim Wilde,1982,US,US
Man on Your Mind,Little River Band,1982,US,US
What's Forever For,Michael Murphey,1982,US,US
Waiting on a Friend,The Rolling Stones,1982,US,US
Do I Do,Stevie Wonder,1982,US,US
Working for the Weekend,Loverboy,1982,US,US
Goin' Down,Greg Guidry,1982,US,US
Arthur's Theme (Best That You Can Do),Christopher Cross,1982,US,US
Through the Years,Kenny Rogers,1982,US,US
Edge of Seventeen,Stevie Nicks,1982,US,US
No.,Title,1983,US,US
Every Breath You Take,The Police,1983,US,US
Billie Jean,Michael Jackson,1983,US,US
Flashdance... What a Feeling,Irene Cara,1983,US,US
Down Under,Men at Work,1983,US,US
Beat It,Michael Jackson,1983,US,US
Total Eclipse of the Heart,Bonnie Tyler,1983,US,US
Maneater,Daryl Hall & John Oates,1983,US,US
"Baby, Come to Me",Patti AustinandJames Ingram,1983,US,US
